libfuse3-4	3.18.2-1	amd64	optional
libfyaml0	0.9.4-1	amd64	optional
libgcc-s1	16-20260322-1ubuntu1	amd64	required
libgcrypt20	1.12.0-2ubuntu1.1	amd64	optional
libgdbm-compat4t64	1.26-1build1	amd64	optional
libgdbm6t64	1.26-1build1	amd64	optional
libgirepository-2.0-0	2.88.0-1ubuntu0.1	amd64	optional
libglib2.0-0t64	2.88.0-1ubuntu0.1	amd64	optional
libglib2.0-bin	2.88.0-1ubuntu0.1	amd64	optional
libglib2.0-data	2.88.0-1ubuntu0.1	all	optional
libgmp10	2:6.3.0+dfsg-5ubuntu2	amd64	required
libgnutls30t64	3.8.12-2ubuntu1.1	amd64	optional
libgpg-error0	1.58-2	amd64	important
libgprofng0	2.46-3ubuntu2	amd64	optional
libgssapi-krb5-2	1.22.1-2ubuntu4.1	amd64	optional
libgstreamer1.0-0	1.28.2-1	amd64	optional
libgudev-1.0-0	1:238-7build1	amd64	optional
libhogweed6t64	3.10.2-1	amd64	optional
libicu78	78.2-2ubuntu1	amd64	optional
libidn2-0	2.3.8-4build1	amd64	optional
libimobiledevice-1.0-6	1.4.0-1build1	amd64	optional
libimobiledevice-glue-1.0-0	1.3.2-2build1	amd64	optional
libinih1	61-1ubuntu1	amd64	optional
libintl-perl	1.37-1	all	optional
libintl-xs-perl	1.37-1	amd64	optional
libisns0t64	0.101-2.1ubuntu0.1	amd64	optional
libjansson4	2.14-2build4	amd64	optional
libjs-sphinxdoc	8.2.3-12	all	optional
libjson-c5	0.18+ds-3	amd64	optional
libk5crypto3	1.22.1-2ubuntu4.1	amd64	optional
libkeyutils1	1.6.3-6ubuntu3	amd64	optional
libklibc	2.0.14-1ubuntu2	amd64	optional
libkmod2	34.2-2ubuntu2	amd64	optional
libkrb5-3	1.22.1-2ubuntu4.1	amd64	optional
libkrb5support0	1.22.1-2ubuntu4.1	amd64	optional
libksba8	1.6.7-2build1	amd64	optional
libldap-common	2.6.10+dfsg-1ubuntu5	all	optional
libldap2	2.6.10+dfsg-1ubuntu5	amd64	optional
libllvm21	1:21.1.8-6ubuntu1	amd64	optional
liblocale-gettext-perl	1.07-8	amd64	required
liblvm2cmd2.03	2.03.31-2ubuntu3	amd64	optional
liblz4-1	1.10.0-8	amd64	important
liblzma5	5.8.3-1	amd64	required
liblzo2-2	2.10-3build2	amd64	optional
libmagic-mgc	1:5.46-5build2	amd64	optional
libmagic1t64	1:5.46-5build2	amd64	optional
libmd0	1.1.0-2build4	amd64	required
libmnl0	1.0.5-3build1	amd64	optional
libmodule-find-perl	0.17-1	all	optional
libmount1	2.41.3-3ubuntu2.2	amd64	optional
libmpathcmd0	0.14.3-2ubuntu1	amd64	optional
libmpathpersist0	0.14.3-2ubuntu1	amd64	optional
libmpfr6	4.2.2-3	amd64	optional
libmultipath0	0.14.3-2ubuntu1	amd64	optional
libncursesw6	6.6+20251231-1	amd64	required
libnetplan1	1.2-1ubuntu5	amd64	optional
libnettle8t64	3.10.2-1	amd64	optional
libnghttp2-14	1.68.0-2ubuntu0.2	amd64	optional
libnl-3-200	3.12.0-2	amd64	optional
libnl-genl-3-200	3.12.0-2	amd64	optional
libnpth0t64	1.8-3build1	amd64	optional
libnss-systemd	259.5-0ubuntu3.4	amd64	standard
libnuma1	2.0.19-1build1	amd64	optional
libopeniscsiusr	2.1.11-3ubuntu3	amd64	optional
libp11-kit0	0.26.2-2	amd64	optional
